# Gene set generated on 2024-10-31T12:09:51 using cellxgene version 1.2.0
# Input data file was /atlas/atlas.h5ad, which was last modified on 2024-10-28T17:11:29
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop2 high (31.10.2024, 13:09:51)",,NOTCH3,
"Pop2 high (31.10.2024, 13:09:51)",,IGFBP5,
"Pop2 high (31.10.2024, 13:09:51)",,BCAM,
"Pop2 high (31.10.2024, 13:09:51)",,H3F3B,
"Pop2 high (31.10.2024, 13:09:51)",,EPAS1,
"Pop2 high (31.10.2024, 13:09:51)",,H3F3A,
"Pop2 high (31.10.2024, 13:09:51)",,MFAP4,
"Pop2 high (31.10.2024, 13:09:51)",,IFITM2,
"Pop2 high (31.10.2024, 13:09:51)",,SPARCL1,
"Pop2 high (31.10.2024, 13:09:51)",,LBH,
"Pop2 high (31.10.2024, 13:09:51)",,IFITM3,
"Pop2 high (31.10.2024, 13:09:51)",,C1QTNF1,
"Pop2 high (31.10.2024, 13:09:51)",,MAP3K20,
"Pop2 high (31.10.2024, 13:09:51)",,HSPB6,
"Pop2 high (31.10.2024, 13:09:51)",,MFGE8,
"Pop2 high (31.10.2024, 13:09:51)",,C11orf96,
"Pop2 high (31.10.2024, 13:09:51)",,AOC3,
"Pop2 high (31.10.2024, 13:09:51)",,JAG1,
"Pop2 high (31.10.2024, 13:09:51)",,COL18A1,
"Pop2 high (31.10.2024, 13:09:51)",,CCDC3,
"Pop2 high (31.10.2024, 13:09:51)",,HES4,
"Pop2 high (31.10.2024, 13:09:51)",,B2M,
"Pop2 high (31.10.2024, 13:09:51)",,RHOA,
"Pop2 high (31.10.2024, 13:09:51)",,CALM1,
"Pop2 high (31.10.2024, 13:09:51)",,CLU,
"Pop2 high (31.10.2024, 13:09:51)",,AHNAK,
"Pop2 high (31.10.2024, 13:09:51)",,TSC22D1,
"Pop2 high (31.10.2024, 13:09:51)",,PHLDA2,
"Pop2 high (31.10.2024, 13:09:51)",,RPS28,
"Pop2 high (31.10.2024, 13:09:51)",,CAV1,
"Pop2 high (31.10.2024, 13:09:51)",,CD99,
"Pop1 high (31.10.2024, 12:18:04)",,ACTA2,
"Pop1 high (31.10.2024, 12:18:04)",,TPM2,
"Pop1 high (31.10.2024, 12:18:04)",,MYLK,
"Pop1 high (31.10.2024, 12:18:04)",,KRT14,
"Pop1 high (31.10.2024, 12:18:04)",,TAGLN,
"Pop1 high (31.10.2024, 12:18:04)",,KRT17,
"Pop1 high (31.10.2024, 12:18:04)",,MYH11,
"Pop1 high (31.10.2024, 12:18:04)",,GPC6-U,
"Pop1 high (31.10.2024, 12:18:04)",,MT-RNR2,
"Pop1 high (31.10.2024, 12:18:04)",,ACTG2,
"Pop1 high (31.10.2024, 12:18:04)",,SPARCL1,
"Pop1 high (31.10.2024, 12:18:04)",,CNN1,
"Pop1 high (31.10.2024, 12:18:04)",,H3-3B,
"Pop1 high (31.10.2024, 12:18:04)",,RPL15-A,
"Pop1 high (31.10.2024, 12:18:04)",,DMD-U,
"Pop1 high (31.10.2024, 12:18:04)",,MIR205HG,
"Pop1 high (31.10.2024, 12:18:04)",,MT-RNR1,
"Pop1 high (31.10.2024, 12:18:04)",,PPP1R14A,
"Pop1 high (31.10.2024, 12:18:04)",,PRKG1-U,
"Pop1 high (31.10.2024, 12:18:04)",,NFIB-U,
"Pop1 high (31.10.2024, 12:18:04)",,MYH11-U,
"Pop1 high (31.10.2024, 12:18:04)",,RBMS3-U,
"Pop1 high (31.10.2024, 12:18:04)",,RBFOX1-U,
"Pop1 high (31.10.2024, 12:18:04)",,PLCB4-U,
"Pop1 high (31.10.2024, 12:18:04)",,KRT8,
"Pop1 high (31.10.2024, 12:18:04)",,ZBTB20-U,
"Pop1 high (31.10.2024, 12:18:04)",,CALD1-A,
"Pop1 high (31.10.2024, 12:18:04)",,DST-A,
"Pop1 high (31.10.2024, 12:18:04)",,SNCG,
"Pop1 high (31.10.2024, 12:18:04)",,FBXO32,
"Pop1 high (31.10.2024, 12:18:04)",,APOE,
"Pop1 high (31.10.2024, 12:18:04)",,SORBS1-U,
"Pop1 high (31.10.2024, 12:18:04)",,SNHG29-A,
"Pop1 high (31.10.2024, 12:18:04)",,LPP-U,
"Pop1 high (31.10.2024, 12:18:04)",,KRT5,
"Pop1 high (31.10.2024, 12:18:04)",,PCP4,
"Pop1 high (31.10.2024, 12:18:04)",,RBPMS-U,
"Pop1 high (31.10.2024, 12:18:04)",,ACTA2-U,
"Pop1 high (31.10.2024, 12:18:04)",,ITPR1-U,
"Pop1 high (31.10.2024, 12:18:04)",,MYL9,
"Pop1 high (31.10.2024, 12:18:04)",,PTPRT-U,
"Pop1 high (31.10.2024, 12:18:04)",,CIRBP-A,
"Pop1 high (31.10.2024, 12:18:04)",,CHRM3-U,
"Pop1 high (31.10.2024, 12:18:04)",,DST-U,
"Pop1 high (31.10.2024, 12:18:04)",,FTX-U,
"Pop1 high (31.10.2024, 12:18:04)",,ID4,
"Pop1 high (31.10.2024, 12:18:04)",,TAF6-U,
"Pop1 high (31.10.2024, 12:18:04)",,CACNA1A,
"Pop1 high (31.10.2024, 12:18:04)",,CDH12-U,
"Pop1 high (31.10.2024, 12:18:04)",,ATP2C1-U,
moDC,,CLEC10A,
moDC,,CST7,
moDC,,CD1C,
new_cdc1,,XCR1,
new_cdc1,,CLEC9A,
new_cdc1,,IRF8,
"Pop1 high (31.10.2024, 11:00:25)",,MT-RNR2,
"Pop1 high (31.10.2024, 11:00:25)",,MT-RNR1,
"Pop1 high (31.10.2024, 11:00:25)",,FABP4,
"Pop1 high (31.10.2024, 11:00:25)",,MMP12,
"Pop1 high (31.10.2024, 11:00:25)",,CST3-A,
"Pop1 high (31.10.2024, 11:00:25)",,TAF6-U,
"Pop1 high (31.10.2024, 11:00:25)",,SPARCL1,
"Pop1 high (31.10.2024, 11:00:25)",,MBNL1-U,
"Pop1 high (31.10.2024, 11:00:25)",,RPL15-A,
"Pop1 high (31.10.2024, 11:00:25)",,LINC-PINT-U,
"Pop1 high (31.10.2024, 11:00:25)",,RPS29-A,
"Pop1 high (31.10.2024, 11:00:25)",,CCL1,
"Pop1 high (31.10.2024, 11:00:25)",,RPS17,
"Pop1 high (31.10.2024, 11:00:25)",,LDB2-U,
"Pop1 high (31.10.2024, 11:00:25)",,IGFBP7,
"Pop1 high (31.10.2024, 11:00:25)",,ZBTB20-U,
"Pop1 high (31.10.2024, 11:00:25)",,IL32,
"Pop1 high (31.10.2024, 11:00:25)",,CD36-U,
"Pop1 high (31.10.2024, 11:00:25)",,JMJD1C-U,
"Pop1 high (31.10.2024, 11:00:25)",,MT2A,
"Pop1 high (31.10.2024, 11:00:25)",,RBFOX1-U,
"Pop1 high (31.10.2024, 11:00:25)",,RPS29,
"Pop1 high (31.10.2024, 11:00:25)",,H3-3B,
"Pop1 high (31.10.2024, 11:00:25)",,LPP-U,
"Pop1 high (31.10.2024, 11:00:25)",,DENND4A-U,
"Pop1 high (31.10.2024, 11:00:25)",,RPS10,
"Pop1 high (31.10.2024, 11:00:25)",,TSHZ2-U,
"Pop1 high (31.10.2024, 11:00:25)",,ASAP1-U,
"Pop1 high (31.10.2024, 11:00:25)",,CACNA1A,
"Pop1 high (31.10.2024, 11:00:25)",,MT-ND4,
"Pop1 high (31.10.2024, 11:00:25)",,NFKB1-U,
"Pop1 high (31.10.2024, 11:00:25)",,GBA3-U,
"Pop1 high (31.10.2024, 11:00:25)",,TCF4-U,
"Pop1 high (31.10.2024, 11:00:25)",,INPP4B-U,
"Pop1 high (31.10.2024, 11:00:25)",,IFITM1,
"Pop1 high (31.10.2024, 11:00:25)",,CRISPLD2-U,
"Pop1 high (31.10.2024, 11:00:25)",,AKAP13-U,
"Pop1 high (31.10.2024, 11:00:25)",,CD52,
"Pop1 high (31.10.2024, 11:00:25)",,ATP2C1-U,
"Pop1 high (31.10.2024, 11:00:25)",,TFPI,
"Pop1 high (31.10.2024, 11:00:25)",,DPYD-U,
"Pop1 high (31.10.2024, 11:00:25)",,RPS28P7,
"Pop1 high (31.10.2024, 11:00:25)",,PPP3CA-U,
"Pop1 high (31.10.2024, 11:00:25)",,MT-ND5,
"Pop1 high (31.10.2024, 11:00:25)",,LOC124904712-U,
"Pop1 high (31.10.2024, 11:00:25)",,ALCAM-U,
"Pop1 high (31.10.2024, 11:00:25)",,ZEB2-U,
"Pop1 high (31.10.2024, 11:00:25)",,MED13L-U,
"Pop1 high (31.10.2024, 11:00:25)",,SNHG29-A,
"Pop1 high (31.10.2024, 11:00:25)",,RPL27A,
classical_monocyte,,VCAN,
classical_monocyte,,S100A8,
classical_monocyte,,S100A9,
lipid_macrophage,,GPNMB,
lipid_macrophage,,LRP1,
lipid_macrophage,,LIPA,
lipid_macrophage,,APOE,
lipid_macrophage,,SPP1,
lipid_macrophage,,FABP4,
cDC2,,CCL17,
cDC2,,IL7R,
cDC2,,CCR7,
cDC2,,LAMP3,
cDC2,,BIRC3,
pDC,,GZMB,
pDC,,SELL,
pDC,,HLA-DRA,
macrophage,,CD68,
macrophage,,CD163,
macrophage,,CD14,
NK,,GNLY,
NK,,CTSW,
NK,,NKG7,
NK,,CCL4,
NK,,PRF1,
NK,,FGFBP2,
NK,,EOMES,
NK,,KLRD1,
ILC3,,KIT,
ILC3,,KRT86,
ILC3,,NR4A1,
ILC3,,IL1R1,
ILC3,,TIPARP,
ILC3,,FOSB,
ILC3,,GSN,
ILC3,,MAP3K8,
ILC3,,SPINK2,
ILC3,,NR4A2,
ILC3,,IL7R,
ILC3,,CD96,
ILC3,,CD81,
ILC2,,GATA3,
ILC2,,RORA,
ILC2,,PTGDR2,
ILC2,,CRLF2,
ILC2,,IL1RL1,
ILC2,,IL17RB,
ILC2,,CCR6,
ILC2,,CCR4,
ILC2,,CTLA4,
ILC2,,PDCD1,
ILC2,,IL4R,
ILC2,,IL10RA,
ILC2,,NCR3,
ILC2,,IL7R,
ILC2,,TNFSF10,
ILC1,,PRF1,
ILC1,,CXCR3,
ILC1,,GNLY,
ILC1,,IL12RB1,
ILC1,,FCER1G,
ILC1,,KLRC1,
ILC1,,ID3,
Tdying,,MT-CYB,
Tdying,,MT-RNR2,
Tdying,,MT-CO1,
Tcycling,,MKI67,
Tcycling,,TYMS,
Treg,,CD4,
Treg,,FOXP3,
Treg,,CTLA4,
Treg,,IL2RA,
Th2_22,,CD4,
Th2_22,,GATA3,
Th2_22,,IL13,
Th2_22,,IL22,
Th2_22,,AHR,
Th2_22,,LIMA1,
Th2_22,,IL4R,
Th2_22,,NBAS,
Th2_22,,LMO4,
Th1,,CD4,
Th1,,RUNX3,
Th1,,IFNG,
Th1,,IRF1,
Th1,,PARP12,
Th1,,CCR6,
Th1,,RORA,
Th1,,CCR4,
Tc_resting,,CD8A,
Tc_resting,,CD8B,
Tc_resting,,KLRB1,
Tc_resting,,CXCR6,
Tc_resting,,PRF1,
Tc_resting,,ANXA2,
Tc_resting,,CRIP1,
Tc_resting,,GZMB,
Tc_active,,CD8A,
Tc_active,,CD8B,
Tc_active,,GZMB,
Tc_active,,IFNG,
Tc_active,,HOPX,
Tc_active,,CCL4,
Tc_active,,CCL3,
Tc_active,,XCL1,
Tc_active,,NKG7,
Tc_active,,GNLY,
fib_C,,TNMD,
fib_C,,TNN,
fib_C,,COCH,
fib_C,,COL11A1,
fib_B,,IGFBP7,
fib_B,,APOE,
fib_B,,C7,
fib_B,,CYGB,
fib_A,,MMP2,
fib_A,,DPP4,
fib_A,,QPCT,
fib_A,,ELN,
fib_A,,DCN,
fib_reticular,,MGP,
fib_reticular,,MFAP5,
fib_papillary,,PDPN,
fib_papillary,,PTGDS,
ker_granular,,DSC1,
ker_granular,,KRT2,
ker_granular,,IVL,
ker_granular,,TGM3,
ker_spinous,,KRT10,
ker_spinous,,KRT1,
ker_spinous,,DSG1,
ker_spinous,,DMKN,
ker_basal,,KRT14,
ker_basal,,KRT5,
plasma,,IGHG1,
plasma,,IGHG2,
plasma,,IGHG3,
plasma,,IGHG4,
plasma,,IGHA1,
plasma,,IGHA2,
plasma,,IGHM,
Bcells,,MS4A1,
Bcells,,CD79A,
vec_venules,,CLU,
vec_venules,,VWF,
vec_venules,,MGP,
vec_venules,,IER3,
vec_venules,,PERP,
vec_venules,,TSC22D3,
vec_venules,,EDN1,
vec_venules,,FBLN2,
vec_venules,,LYST,
vec_post_capillary,,SELE,
vec_post_capillary,,C2CD4B,
vec_post_capillary,,SOCS3,
vec_post_capillary,,ZFP36,
vec_post_capillary,,HSPA1A,
vec_post_capillary,,ATF3,
vec_post_capillary,,HSPA1B,
vec_post_capillary,,CDKN1A,
vec_post_capillary,,NFKBIA,
vec_post_capillary,,DNAJB1,
vec_capillary_c2,,ACKR1,
vec_capillary_c2,,HLA-DRB1,
vec_capillary_c2,,HLA-DPA1,
vec_capillary_c2,,HLA-DRA,
vec_capillary_c2,,CD74,
vec_capillary_c2,,HLA-DQA1,
vec_capillary_c2,,HLA-DPB1,
vec_capillary_c2,,SPARCL1,
vec_capillary_c2,,CTSC,
vec_capillary_c2,,HLA-DRB5,
vec_capillary_c1,,RBP7,
vec_capillary_c1,,RGCC,
vec_capillary_c1,,TSC22D1,
vec_capillary_c1,,SPRY1,
vec_capillary_c1,,SPARC,
vec_capillary_c1,,PLVAP,
vec_capillary_c1,,ITIH5,
vec_capillary_c1,,A2M,
vec_capillary_c1,,AQP1,
vec_capillary_c1,,ADGRF5,
vec_arteriole,,IGFBP3,
vec_arteriole,,SRGN,
vec_arteriole,,SAT1,
vec_arteriole,,SEMA3G,
vec_arteriole,,SLC9A3R2,
vec_arteriole,,RHOB,
vec_arteriole,,HEY1,
vec_arteriole,,BST2,
vec_arteriole,,JAG1,
vec_arteriole,,SOX17,
endothelial_lymphatic,,CCL21,
endothelial_lymphatic,,TFF3,
endothelial_lymphatic,,LYVE1,
endothelial_lymphatic,,PROX1,
endothelial_lymphatic,,MMRN1,
endothelial_lymphatic,,PPFIBP1,
endothelial_lymphatic,,EFEMP1,
endothelial_lymphatic,,FAM107B,
endothelial_lymphatic,,FGL2,
endothelial_lymphatic,,TFPI,
endothelial_lymphatic,,MAF,
nk,,GNLY,
nk,,CTSW,
nk,,NKG7,
nk,,CCL4,
nk,,PRF1,
nk,,FGFBP2,
nk,,EOMES,
nk,,KLRD1,
schwann2,,PLP1,
schwann2,,SOX10,
schwann2,,S100B,
schwann,,CDH19,
schwann,,MPZ,
melanocytes,,MLANA,
melanocytes,,PMEL,
arrector_pili,,ACTA2,
arrector_pili,,CNN1,
arrector_pili,,IGFBP5,
arrector_pili,,MYH11,
pericytes,,RGS5,
pericytes,,KCNJ8,
pericytes,,ABCC9,
pericytes,,ANPEP,
pericytes,,HIGD1B,
pericytes,,COL4A2,
